// ~->[CASE-1]->~
DiaSemana   Hora   Appliance
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Quinta   treze   Fan
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Sexta   dezoito   Grill
Sexta   dezessete   Fan
Sexta   dezessete   Shower
Sexta   dezessete   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Quinta   dezessete   Shower
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fridge
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   dezesseis   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fridge
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quinze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
Sexta   quatorze   Fan
